system:index,Herbicide control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
21,0,3.2802,1.1652,0.1943,0,0.5454,0.0155,0,2021-10-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,2.3477,2.2889,0.3883,0,0.4286,0,0.0077,2021-11-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,1.6321,1.3214,0.3112,0,0.2336,0,0,2021-12-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,1.1036,1.4535,0.1711,0,0.3034,0,0.0233,2022-01-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0.8939,1.4380,0.2023,0,0.2882,0,0,2022-02-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,1.5928,0.7149,0.0779,0,0.3658,0,0,2022-03-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,2.1698,0.4578,0.1008,0,0.8409,0,0,2022-04-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,5.6211,0.2177,0.0155,0,1.8196,0,0,2022-05-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,24.3441,0.2101,0.0233,0,3.7151,0,0,2022-06-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,8.8082,0.4811,0.0699,0,0.8551,0,0,2022-07-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,1.9038,12.0390,0.7907,0,0.1866,0.0389,0,2022-08-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,1.6391,2.1482,0.5591,0,0.2102,0.1245,0,2022-09-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,0.3807,2.7945,0.5838,0,0.1013,0.0934,0,2022-10-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,0.2646,6.5772,1.9926,0,0.1167,0.0466,0,2022-11-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,0.3027,4.3415,0.9573,0,0.1011,0.0311,0.0078,2022-12-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,0.3812,1.6094,0.5215,0,0.1479,0.0156,0.0078,2023-01-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,0.2872,2.8132,0.7312,0,0.1711,0.0156,0,2023-02-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,0.1088,2.0396,0.2800,0,0.2808,0,0,2023-03-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,0.5279,1.3329,0.0467,0,3.5437,0,0,2023-04-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,1.8652,1.8795,0.2337,0,6.1285,0,0,2023-05-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,1.6866,15.2542,1.9764,0,1.2975,0,0.0078,2023-06-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,0.9174,23.1844,2.8417,0,0.7930,0,0.0078,2023-07-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.1318,0.1009,93.0201,8.5252,0,0.0543,0.0775,0.0388,2023-08-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.0155,0.0155,113.2398,16.7036,0,0.0232,1.1722,0.1944,2023-09-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,0,9.2182,1.3069,0,0,0.3107,0.0389,2023-10-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,0,3.5022,0.8778,0,0,0.0078,0.1631,2023-11-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0,0,0.7062,0.0934,0,0,0,0.0621,2023-12-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,0,0.7359,0.0621,0,0.0778,0,0.0622,2024-01-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,0.0311,0.4575,0.0155,0,0.1556,0,0.0078,2024-02-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,0,0.4031,0.0388,0,0.2178,0,0.0078,2024-03-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,0.0311,0.4027,0.0233,0,0.3879,0,0,2024-04-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,0.0389,0.3794,0.0778,0,0.4117,0,0,2024-05-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,0.0232,1.7502,0.2091,0,0.0699,0,0.0155,2024-06-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,0.0388,8.3544,0.3640,0,0.1247,0,0.0467,2024-07-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0,0.0078,5.2986,0.6592,0,0.1867,0,0,2024-08-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,3.4503,0.0078,7.7549,0.7218,0,0.0234,0.0155,0.0156,2024-09-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,3.5189,0,17.5310,2.8913,0,0.0778,0,0.1167,2024-10-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,1.2532,0.0233,8.5409,1.4882,0,0.2020,0.0234,0.0078,2024-11-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,0,0,0,0,0,21.8027,0,2024-12-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
