system:index,Herbicide control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
20,0.2645,11.9804,24.0616,0.4079,0,1.0899,0.1444,0.1106,2021-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.2730,2.4116,21.2451,1.3170,0,0.4342,0.2633,0.1274,2021-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.1365,1.6620,22.9487,1.3525,0,0.2472,0.2887,0.1359,2021-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,1.5261,19.8676,1.2249,0,0.6136,0.5606,0.0340,2021-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,2.6417,8.3183,0.5447,0,1.7969,0.5190,0.0936,2022-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,2.5981,8.1911,0.3572,0,2.2234,0.2379,0.1698,2022-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,6.5182,7.2807,0.5204,0,5.7889,0.1359,0.0085,2022-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,29.9591,1.1763,0.1533,0,24.8921,0.0934,0,2022-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,97.8930,1.6177,0.1109,0,61.3393,0.0255,0.0085,2022-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,46.5976,2.0250,0.8326,0,16.0689,0.0255,0,2022-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.0513,6.9721,4.2952,1.1553,0,5.3796,0.0170,0,2022-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,5.7572,2.2784,25.2269,4.4553,0,3.1955,0.0765,0.0425,2022-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,45.8303,1.5641,29.1855,4.1622,0,1.7295,0.0849,0.0509,2022-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,5.1411,0.9779,16.8225,3.3884,0,1.5766,0.1869,0.1953,2022-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,4.6296,0.7487,21.0158,4.5912,0,0.8599,1.8222,0.0934,2022-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3.1122,0.4945,12.7268,2.8431,0,1.0060,0.5269,0.0679,2022-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.8697,0.7666,16.3650,3.4204,0,1.8928,0.0764,0.0340,2023-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.0938,0.7668,19.5896,2.8891,0,3.4640,0.0509,0.0596,2023-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.5968,2.1288,16.4798,1.7668,0,10.5576,0.3736,0.0683,2023-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.4519,4.6434,17.0822,1.5034,0,23.8906,0.0425,0.0085,2023-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.4178,6.8246,42.6253,7.1151,0,16.3563,0.0595,0.0764,2023-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.2302,6.2915,77.7015,7.2098,0,5.8787,0.1104,0.0764,2023-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.1108,2.1364,56.5896,3.2116,0,4.3033,0.0849,0.1783,2023-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.1367,0.8007,118.2505,10.8879,0,1.9771,0.4160,0.2208,2023-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,302.9897,0.5285,136.0667,9.9090,0,1.7473,0.4160,0.2037,2023-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,39.4386,0.4021,40.5970,2.7581,0,1.6039,0.7812,0.1954,2023-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4.1849,0.1280,43.1132,2.9151,0,1.5158,0.5012,0.2210,2023-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2.9871,0.0681,36.9780,2.9105,0,1.5493,0.2298,0.0850,2023-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1.4438,0.0853,19.0048,1.7912,0,3.6248,0.1192,0.1443,2024-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,1.1214,0.1024,13.7900,1.0485,0,3.0132,0.0426,0.0934,2024-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.7730,0.2392,5.7013,0.6896,0,7.3956,0.6323,0.2041,2024-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.5351,2.1425,9.0723,0.8764,0,17.3771,0.0851,0.2471,2024-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,1.4482,24.2192,2.9834,0,8.9323,0.0509,0.2214,2024-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,1.1249,39.5396,15.6882,0,7.5176,0.0171,0.1109,2024-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.0085,0.1447,24.4357,3.8378,0,1.9071,0.0256,0.1619,2024-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.1108,0.0171,20.0208,6.0152,0,0.3752,0.2218,0.2809,2024-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2594.8300,0.0171,366.6977,14.7137,0,0.2646,1.1166,0.4261,2024-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,336.9015,0.0086,233.9492,9.3396,0,0.3658,2.4694,0.4935,2024-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,131.2473,0.0255,53.5807,3.1211,0,4.0629,1.8108,0.3066,2024-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,0,0,0,0,0,9120.0365,0,2024-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
