system:index,Herbicide control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
47,9.5872,0.9483,378.9563,21.0919,0,9.3674,176.2786,207.2466,2023-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,5.6312,0.8053,245.0737,13.1190,0,15.3498,9.9608,20.3463,2024-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,7.2772,0.3694,235.7599,17.3693,0,18.5831,3.8242,13.8323,2024-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,7.3033,1.0493,236.0370,10.4887,0,55.6875,15.1466,40.4817,2024-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,4.6580,1.6329,231.5682,9.5747,0,39.1388,3.2272,61.4750,2024-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.0750,1.9538,249.4569,16.6292,0,43.9753,12.1297,439.9193,2024-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.0664,2.7082,1335.1737,42.2688,0,49.2753,16.2917,565.9952,2024-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.1988,0.3761,1267.8198,27.8941,0,23.5948,43.2569,149.5546,2024-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.1242,0.0336,875.5514,27.5471,0,5.5380,43.6402,176.4113,2024-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,204.0296,0.0167,729.4491,56.9887,0,3.1590,34.8368,120.9384,2024-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,55.0565,0.0168,227.8632,24.8034,0,6.2028,11.2075,93.1406,2024-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,43.3306,0.0669,74.2608,6.7374,0,7.2123,3.1768,44.5050,2024-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,0,0,0,0,0,2184.8032,0,2024-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
